book_id,isbn,isbn13,authors,original_publication_year,original_title,title,average_rating,ratings_count
561456,141382899,9780000000000,Rick Riordan,2007.0,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,446668
3153910,1554681723,9780000000000,Garth Stein,2006.0,The Art of Racing in the Rain,The Art of Racing in the Rain,4.19,327409
21996,739303406,9780000000000,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,309385
13572249,425263908,9780000000000,Sylvia Day,2012.0,Bared to You,"Bared to You (Crossfire, #1)",4.19,222678
11127,66238501,9780000000000,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,376385
60748,1558743669,9780000000000,Dave Pelzer,1995.0,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",4.08,311543
7869,752864327,9780000000000,Robert Ludlum,1980.0,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",3.98,327122
249747,786817879,9780000000000,Eoin Colfer,2001.0,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",3.82,386923
6487308,385738935,9780000000000,Lauren Kate,2009.0,Fallen,"Fallen (Fallen, #1)",3.74,395296
4406,142000655,9780000000000,John Steinbeck,1952.0,East of Eden  ,East of Eden,4.35,320919
5886881,307341569,9780000000000,Gillian Flynn,2009.0,Dark Places,Dark Places,3.92,333452
5359,385339089,9780000000000,John Grisham,1993.0,The Client,The Client,3.97,320083
228333,312291639,9780000000000,"Emma McLaughlin, Nicola Kraus",2002.0,The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",3.4,323762
